ride_date,tavg,tmin,tmax,wspd,pres,dia_da_semana,classe
2018-05-09,19.8,16.0,24.4,10.8,1018.3,2,1
2018-05-10,18.3,14.0,24.0,14.0,1020.7,3,0
2018-05-11,19.7,12.9,25.1,5.9,1018.4,4,0
2018-05-12,19.9,13.4,25.6,5.1,1016.9,5,0
2018-05-13,20.0,13.9,26.4,5.9,1016.6,6,0
2018-05-14,20.4,13.9,26.4,7.7,1016.4,0,1
2018-05-15,20.6,16.6,25.5,9.4,1016.7,1,1
2018-05-16,18.1,11.0,26.3,4.9,1019.6,2,1
2018-05-17,19.9,14.4,24.5,4.6,1016.4,3,0
2018-05-18,20.9,16.1,25.5,7.2,1015.4,4,0
2018-05-19,19.9,15.1,26.6,8.2,1015.7,5,0
2018-05-20,16.7,13.9,22.4,7.0,1017.0,6,0
2018-05-21,15.8,8.3,25.2,3.1,1019.0,0,1
2018-05-22,18.6,11.9,25.1,5.5,1018.6,1,1
2018-05-23,17.5,10.3,25.7,5.0,1017.7481818181818,2,1
2018-05-24,20.2,15.6,24.5,9.1,1020.3,3,1
2018-05-25,19.1,16.1,24.1,11.3,1020.0,4,1
2018-05-26,18.7,14.9,23.9,11.3,1019.5,5,0
2018-05-27,17.2,12.3,22.8,11.3,1017.7481818181818,6,0
2018-05-28,16.0,11.3,21.8,10.8,1017.7481818181818,0,1
2018-05-29,16.3,11.3,22.3,9.7,1023.2,1,1
2018-05-30,15.8,10.3,22.3,7.6,1017.7481818181818,2,1
2018-05-31,15.5,8.9,23.3,5.0,1020.3,3,1
2018-06-01,18.0,11.1,24.1,5.7,1018.1,4,1
2018-06-02,18.4,11.6,24.9,6.4,1019.5,5,0
2018-06-03,18.8,12.6,25.0,7.4,1020.8,6,0
2018-06-04,17.7,9.3,26.3,7.2,1022.5,0,1
2018-06-05,19.7,15.4,25.1,7.4,1017.4,1,1
2018-06-06,19.4,14.1,25.9,5.9,1015.8,2,1
2018-06-07,20.8,15.0,27.5,5.5,1017.7,3,1
2018-06-08,21.4,15.9,27.6,6.0,1018.4,4,1
2018-06-09,21.0,14.5,26.9,7.2,1018.9,5,0
2018-06-10,19.4,13.3,26.3,10.0,1021.3,6,0
2018-06-11,20.3,17.1,25.0,8.0,1018.2,0,1
2018-06-12,20.6,14.4,26.4,5.7,1018.5,1,1
2018-06-13,18.9,12.8,26.3,5.1,1021.9,2,1
2018-06-14,20.0,13.4,26.6,7.3,1019.6,3,1
2018-06-15,19.4,13.4,25.6,6.7,1021.0,4,0
2018-06-16,18.5,13.4,24.4,8.1,1021.9,5,0
2018-06-17,17.8,11.5,24.6,8.0,1023.4,6,0
2018-06-18,18.1,12.6,23.4,9.0,1023.6,0,0
2018-06-19,18.0,14.0,22.6,10.9,1023.0,1,1
2018-06-20,18.9,14.6,23.1,11.6,1022.4,2,1
2018-06-21,19.2,14.6,24.1,9.8,1021.4,3,1
2018-06-22,19.0,12.1,25.1,7.4,1020.3,4,0
2018-06-23,19.2,13.9,25.0,7.7,1019.1,5,0
2018-06-24,18.5,11.6,24.6,6.8,1020.1,6,0
2018-06-25,19.0,11.6,24.9,8.4,1018.5,0,1
2018-06-26,18.0,12.2,24.7,5.9,1020.8,1,1
2018-06-27,16.7,9.8,24.9,7.2,1021.5,2,0
2018-06-28,19.4,12.4,24.6,10.1,1018.9,3,1
2018-06-29,18.1,13.1,23.1,8.9,1019.3,4,0
2018-06-30,17.5,10.1,24.0,5.8,1018.2,5,0
2018-07-01,16.8,8.3,25.3,4.7,1019.3,6,0
2018-07-02,17.2,9.3,25.5,7.699115044247787,1019.7,0,0
2018-07-03,16.6,8.3,25.3,7.699115044247787,1020.5,1,1
2018-07-04,16.4,8.3,24.8,8.7,1020.5,2,1
2018-07-05,15.8,7.3,24.3,8.6,1017.7481818181818,3,1
2018-07-06,15.5,6.3,24.3,7.7,1021.8,4,0
2018-07-07,19.4,14.9,26.0,7.8,1018.7,5,0
2018-07-08,17.5,8.5,27.3,2.0,1021.4,6,0
2018-07-09,20.3,13.0,27.4,5.1,1018.9,0,1
2018-07-10,19.9,14.4,26.9,7.1,1018.8,1,1
2018-07-11,18.7,13.6,25.1,6.4,1019.7,2,0
2018-07-12,17.7,10.3,25.8,5.7,1022.8,3,0
2018-07-13,18.1,12.3,25.3,4.6,1022.9,4,0
2018-07-14,19.8,13.0,25.9,8.7,1019.3,5,0
2018-07-15,19.4,12.6,25.9,9.0,1020.0,6,0
2018-07-16,19.3,14.6,24.4,9.2,1021.2,0,1
2018-07-17,19.1,14.1,24.9,10.8,1020.7,1,1
2018-07-18,18.7,15.1,23.4,10.8,1020.6,2,1
2018-07-19,19.1,14.5,24.6,11.0,1019.2,3,1
2018-07-20,19.1,14.5,24.6,9.5,1019.3,4,0
2018-07-21,18.7,9.9,27.4,6.9,1015.4,5,0
2018-07-22,18.8,10.4,26.8,8.9,1015.7,6,0
2018-07-23,18.1,10.5,25.4,10.3,1017.4,0,1
2018-07-24,17.8,9.7,25.4,9.6,1017.3,1,1
2018-07-25,18.3,11.4,25.6,9.6,1017.8,2,1
2018-07-26,18.1,10.0,25.9,8.3,1017.9,3,1
2018-07-27,18.5,9.6,26.7,6.9,1017.1,4,1
2018-07-28,19.0,9.9,27.6,6.3,1015.9,5,0
2018-07-29,19.5,9.9,28.5,5.6,1014.8,6,0
2018-07-30,19.9,10.1,29.2,4.8,1013.5,0,0
2018-07-31,20.6,10.2,30.1,5.2,1013.9,1,0
2018-08-01,20.8,10.4,30.5,4.9,1013.4,2,1
